node,mixed,sit and wait,widely foraging
923,0,1,0
924,0,1,0
925,0,1,0
926,0,1,0
927,0,1,0
928,0,1,0
929,0,1,0
930,0,1,0
931,0.004,0.996,0
932,0.135,0.851,0.014
933,0,1,0
934,0,1,0
935,0,0.999,0.001
936,0,1,0
937,0.001,0.998,0.001
938,0.001,0.998,0.001
939,0.001,0.999,0
940,0,1,0
941,0,1,0
942,0.003,0.963,0.034
943,0,1,0
944,0,1,0
945,0,1,0
946,0,0.999,0.001
947,0,0.999,0.001
948,0,1,0
949,0,1,0
950,0.031,0.966,0.003
951,0,1,0
952,0,1,0
953,0,1,0
954,0,0.995,0.005
955,0,1,0
956,0,1,0
957,0.064,0.934,0.002
958,0.596,0.399,0.005
959,0,1,0
960,0,1,0
961,0,1,0
962,0.005,0.995,0
963,0,1,0
964,0,1,0
965,0,1,0
966,0,1,0
967,0,1,0
968,0,1,0
969,0,1,0
970,0,1,0
971,0,1,0
